Value,MODLAND,Emissivity accuracy,LST accuracy,Data quality flag
2,Pixel not produced due to cloud,>0.02 (Poor performance),>2 K (Poor performance),"Good data quality of L1B bands 29, 31, 32"
48,"Pixel produced, good quality, no further QA info necessary",<0.01 (Excellent performance),>2 K (Poor performance),"Good data quality of L1B bands 29, 31, 32"
49,Pixel produced but unreliable quality. Recommend more detailed analysis of other QC information,<0.01 (Excellent performance),>2 K (Poor performance),"Good data quality of L1B bands 29, 31, 32"
96,"Pixel produced, good quality, no further QA info necessary",0.01 - 0.015 (Good performance),1.5 - 2 K (Marginal performance),"Good data quality of L1B bands 29, 31, 32"
97,Pixel produced but unreliable quality. Recommend more detailed analysis of other QC information,0.01 - 0.015 (Good performance),1.5 - 2 K (Marginal performance),"Good data quality of L1B bands 29, 31, 32"
112,"Pixel produced, good quality, no further QA info necessary",<0.01 (Excellent performance),1.5 - 2 K (Marginal performance),"Good data quality of L1B bands 29, 31, 32"
113,Pixel produced but unreliable quality. Recommend more detailed analysis of other QC information,<0.01 (Excellent performance),1.5 - 2 K (Marginal performance),"Good data quality of L1B bands 29, 31, 32"
144,"Pixel produced, good quality, no further QA info necessary",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),"Good data quality of L1B bands 29, 31, 32"
145,Pixel produced but unreliable quality. Recommend more detailed analysis of other QC information,0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),"Good data quality of L1B bands 29, 31, 32"
160,"Pixel produced, good quality, no further QA info necessary",0.01 - 0.015 (Good performance),1 - 1.5 K (Good performance),"Good data quality of L1B bands 29, 31, 32"
161,Pixel produced but unreliable quality. Recommend more detailed analysis of other QC information,0.01 - 0.015 (Good performance),1 - 1.5 K (Good performance),"Good data quality of L1B bands 29, 31, 32"
176,"Pixel produced, good quality, no further QA info necessary",<0.01 (Excellent performance),1 - 1.5 K (Good performance),"Good data quality of L1B bands 29, 31, 32"
177,Pixel produced but unreliable quality. Recommend more detailed analysis of other QC information,<0.01 (Excellent performance),1 - 1.5 K (Good performance),"Good data quality of L1B bands 29, 31, 32"
224,"Pixel produced, good quality, no further QA info necessary",0.01 - 0.015 (Good performance),<1 K (Excellent performance),"Good data quality of L1B bands 29, 31, 32"
225,Pixel produced but unreliable quality. Recommend more detailed analysis of other QC information,0.01 - 0.015 (Good performance),<1 K (Excellent performance),"Good data quality of L1B bands 29, 31, 32"
240,"Pixel produced, good quality, no further QA info necessary",<0.01 (Excellent performance),<1 K (Excellent performance),"Good data quality of L1B bands 29, 31, 32"
