File,aid,Date,2,14,48,49,85,96,97,112,113,144,145,160,161,164,165,176,177,224,225,240,244
QC_Night_2004361_aid0001,aid0001,2004-12-26,33274.0,,,,,,,,,,,,,,,79.0,1849.0,,,3444.0,
QC_Night_2005001_aid0001,aid0001,2005-01-01,21289.0,,,,,,,,,,,,,,,,14.0,,,17343.0,
QC_Night_2005009_aid0001,aid0001,2005-01-09,12969.0,,,,,,,,,,,,,,,1519.0,4713.0,,,19445.0,
QC_Night_2005017_aid0001,aid0001,2005-01-17,2452.0,,,,,,,,,,,,,,,4481.0,10681.0,,,21032.0,
QC_Night_2005025_aid0001,aid0001,2005-01-25,11510.0,,,,,,,,,,,,,,,,25.0,,,27111.0,
QC_Night_2005033_aid0001,aid0001,2005-02-02,6540.0,,,,,,,,,,,,,,,,11.0,,,32095.0,
QC_Night_2005041_aid0001,aid0001,2005-02-10,16207.0,,,,,,,,,,,,,,,9.0,,,,22430.0,
QC_Night_2005049_aid0001,aid0001,2005-02-18,4836.0,,,,,,,,,,,,,,,1044.0,1992.0,,,30774.0,
QC_Night_2005057_aid0001,aid0001,2005-02-26,3744.0,,,,,,,,,,,,,,,1386.0,7279.0,,,26237.0,
QC_Night_2005065_aid0001,aid0001,2005-03-06,1221.0,,,,,,,,,,,,,,,667.0,517.0,,,36241.0,
QC_Night_2005073_aid0001,aid0001,2005-03-14,5241.0,,,,,,,,,,,,,,,615.0,1296.0,,,31494.0,
QC_Night_2005081_aid0001,aid0001,2005-03-22,19624.0,,,,,,,,,,,,,,,1129.0,2566.0,,,15327.0,
QC_Night_2005089_aid0001,aid0001,2005-03-30,8950.0,,,,,,,,,,,,,,,198.0,171.0,,,29327.0,
QC_Night_2005097_aid0001,aid0001,2005-04-07,1861.0,,,,,,,,,,,,,,,7237.0,5736.0,,,23812.0,
QC_Night_2005105_aid0001,aid0001,2005-04-15,460.0,,,,,,,,,,,,,,,3154.0,1074.0,,,33958.0,
QC_Night_2005113_aid0001,aid0001,2005-04-23,2674.0,,,,,,,,,,,,,,,10642.0,5525.0,,,19805.0,
QC_Night_2005121_aid0001,aid0001,2005-05-01,10225.0,,,,,,,,,,,,,,,499.0,3044.0,,,24878.0,
QC_Night_2005129_aid0001,aid0001,2005-05-09,5925.0,,,,,,,,,,,,,,,992.0,1862.0,,,29867.0,
QC_Night_2005137_aid0001,aid0001,2005-05-17,446.0,,,,,,,40.0,123.0,,,4.0,4.0,,,22972.0,9823.0,,,5234.0,
QC_Night_2005145_aid0001,aid0001,2005-05-25,709.0,,,,,,,,242.0,,,1.0,,,,636.0,955.0,,,36103.0,
QC_Night_2005153_aid0001,aid0001,2005-06-02,4792.0,,,,,,,29.0,444.0,,,,,,,10136.0,11353.0,,,11892.0,
QC_Night_2005161_aid0001,aid0001,2005-06-10,1180.0,,,,,,,23.0,2.0,,,,,,,13187.0,4971.0,,,19283.0,
QC_Night_2005169_aid0001,aid0001,2005-06-18,84.0,,,,,,,,,,,1.0,2.0,,,13397.0,1801.0,,2.0,23359.0,
QC_Night_2005177_aid0001,aid0001,2005-06-26,9.0,,,,,,,9.0,16.0,,,,,,,29405.0,4851.0,,,4356.0,
QC_Night_2005185_aid0001,aid0001,2005-07-04,,,,,,,,7.0,4.0,,,,,,,37053.0,758.0,,,824.0,
QC_Night_2005193_aid0001,aid0001,2005-07-12,,,,,,,,,,,,,,,,38389.0,131.0,,,126.0,
QC_Night_2005201_aid0001,aid0001,2005-07-20,,,,,,,,8.0,,,,,,,,35334.0,743.0,,,2561.0,
QC_Night_2005209_aid0001,aid0001,2005-07-28,,,,,,,,4418.0,6.0,,,23.0,,,,32362.0,1550.0,,,287.0,
QC_Night_2005217_aid0001,aid0001,2005-08-05,,,,,,,,1758.0,202.0,,,,,,,32585.0,3299.0,,,802.0,
QC_Night_2005225_aid0001,aid0001,2005-08-13,7.0,,,,,,,9.0,,,,899.0,6.0,,,20080.0,1781.0,,2.0,15862.0,
QC_Night_2005233_aid0001,aid0001,2005-08-21,,,,,,,,15.0,15.0,,,6.0,5.0,,,30992.0,6431.0,,,1182.0,
QC_Night_2005241_aid0001,aid0001,2005-08-29,,,,,,,,,,,,,,,,13576.0,604.0,,,24466.0,
QC_Night_2005249_aid0001,aid0001,2005-09-06,7.0,,,,,,,4.0,5.0,,,,,,,16657.0,8263.0,,,13710.0,
QC_Night_2005257_aid0001,aid0001,2005-09-14,4.0,,,,,,,107.0,,,,,,,,18930.0,2899.0,,,16706.0,
QC_Night_2005265_aid0001,aid0001,2005-09-22,4.0,,,,,,,,,,,,,,,15023.0,1392.0,,,22227.0,
QC_Night_2005273_aid0001,aid0001,2005-09-30,26.0,,,,,,,1.0,41.0,,,,,,,3577.0,2343.0,,,32658.0,
QC_Night_2005281_aid0001,aid0001,2005-10-08,33.0,,,,,,,,,,,,,,,730.0,212.0,,,37671.0,
QC_Night_2005289_aid0001,aid0001,2005-10-16,69.0,,,,,,,,,,,,,,,26233.0,4767.0,,,7577.0,
QC_Night_2005297_aid0001,aid0001,2005-10-24,87.0,,,,,,,,,,,,,,,10854.0,587.0,,,27118.0,
QC_Night_2005305_aid0001,aid0001,2005-11-01,5379.0,,,,,,,,,,,,,,,3774.0,1737.0,,,27756.0,
QC_Night_2005313_aid0001,aid0001,2005-11-09,14413.0,,,,,,,,,,,,,,,584.0,5171.0,,,18478.0,
QC_Night_2005321_aid0001,aid0001,2005-11-17,3165.0,,,,,,,,,,,,,,,917.0,3725.0,,,30839.0,
QC_Night_2005329_aid0001,aid0001,2005-11-25,21515.0,,,,,,,,,,,,,,,,281.0,,,16850.0,
QC_Night_2005337_aid0001,aid0001,2005-12-03,18931.0,,,,,,,,,,,,,,,858.0,468.0,,,18389.0,
QC_Night_2005345_aid0001,aid0001,2005-12-11,11642.0,,,,,,,,,,,,,,,549.0,3031.0,,,23424.0,
QC_Night_2005353_aid0001,aid0001,2005-12-19,22613.0,,,,,,,,,,,,,,,1132.0,3656.0,,,11245.0,
QC_Night_2005361_aid0001,aid0001,2005-12-27,22295.0,,,,,,,,,,,,,,,13.0,2233.0,,,14105.0,
QC_Night_2006001_aid0001,aid0001,2006-01-01,15369.0,,,,,,,,,,,,,,,44.0,942.0,,,22291.0,
QC_Night_2006009_aid0001,aid0001,2006-01-09,8765.0,,,,,,,,,,,,,,,865.0,5032.0,,,23984.0,
QC_Night_2006017_aid0001,aid0001,2006-01-17,10451.0,,,,,,,,,,,,,,,7612.0,1898.0,,,18685.0,
QC_Night_2006025_aid0001,aid0001,2006-01-25,13244.0,,,,,,,,,,,,,,,4880.0,7957.0,,,12565.0,
QC_Night_2006033_aid0001,aid0001,2006-02-02,8432.0,,,,,,,,,,,,,,,241.0,1156.0,,,28817.0,
QC_Night_2006041_aid0001,aid0001,2006-02-10,7862.0,,,,,,,,,,,,,,,23.0,485.0,,,30276.0,
QC_Night_2006049_aid0001,aid0001,2006-02-18,8918.0,,,,,,,,,,,,,,,113.0,2130.0,,,27485.0,
QC_Night_2006057_aid0001,aid0001,2006-02-26,2445.0,,,,,,,,,,,,,,,9011.0,6350.0,,,20840.0,
QC_Night_2006065_aid0001,aid0001,2006-03-06,15032.0,,,,,,,,,,,,,,,24.0,39.0,,,23551.0,
QC_Night_2006073_aid0001,aid0001,2006-03-14,16396.0,,,,,,,,,,,,,,,1415.0,2631.0,,,18204.0,
QC_Night_2006081_aid0001,aid0001,2006-03-22,10870.0,,,,,,,,,,,,,,,239.0,21.0,,,27516.0,
QC_Night_2006089_aid0001,aid0001,2006-03-30,9374.0,,,,,,,,,,,,,,,2639.0,4913.0,,,21720.0,
QC_Night_2006097_aid0001,aid0001,2006-04-07,829.0,,,,,,,,,,,,,,,979.0,1748.0,,,35090.0,
QC_Night_2006105_aid0001,aid0001,2006-04-15,783.0,,,,,,,,,,,,,,,1175.0,3181.0,,,33507.0,
QC_Night_2006113_aid0001,aid0001,2006-04-23,761.0,,,,,,,,,,,,,,,3053.0,3095.0,,,31737.0,
QC_Night_2006121_aid0001,aid0001,2006-05-01,943.0,,,,,,,,,,,,,,,9702.0,11224.0,,,16777.0,
QC_Night_2006129_aid0001,aid0001,2006-05-09,403.0,,,,,,,,,,,,,,,5105.0,3743.0,,,29395.0,
QC_Night_2006137_aid0001,aid0001,2006-05-17,164.0,,,,,,,66.0,55.0,,,,,,,20642.0,7927.0,,,9792.0,
QC_Night_2006145_aid0001,aid0001,2006-05-25,119.0,,,,,,,,,,,,,,,15907.0,6669.0,,,15951.0,
QC_Night_2006153_aid0001,aid0001,2006-06-02,11.0,,,,,,,29.0,28.0,,,241.0,65.0,,,29419.0,6860.0,,1.0,1992.0,
QC_Night_2006161_aid0001,aid0001,2006-06-10,20.0,,,,,,,,3.0,,,,,,,19140.0,2757.0,,,16726.0,
QC_Night_2006169_aid0001,aid0001,2006-06-18,,,,,,,,,,,,,,,,36606.0,1581.0,,,459.0,
QC_Night_2006177_aid0001,aid0001,2006-06-26,,,,,,2.0,,12.0,,,,301.0,69.0,,,36060.0,1848.0,,,354.0,
QC_Night_2006185_aid0001,aid0001,2006-07-04,1204.0,,10.0,4.0,,341.0,537.0,3087.0,2428.0,,,1035.0,409.0,,,14845.0,9975.0,,,4771.0,
QC_Night_2006193_aid0001,aid0001,2006-07-12,,,,,,,,,,,,,,,,33031.0,107.0,,,5508.0,
QC_Night_2006201_aid0001,aid0001,2006-07-20,,,1237.0,136.0,,17.0,,15067.0,1007.0,,,,,,,20943.0,239.0,,,,
QC_Night_2006209_aid0001,aid0001,2006-07-28,,,,,,,,,,,,,,,,22557.0,1484.0,,,14605.0,
QC_Night_2006217_aid0001,aid0001,2006-08-05,,,,,,,,9.0,1.0,,,1168.0,,,,32564.0,476.0,,,4428.0,
QC_Night_2006225_aid0001,aid0001,2006-08-13,,,,,,,,,,,,,,,,29820.0,3296.0,,,5530.0,
QC_Night_2006233_aid0001,aid0001,2006-08-21,,,,,,,,122.0,61.0,,,,,,,33399.0,5056.0,,,8.0,
QC_Night_2006241_aid0001,aid0001,2006-08-29,7.0,,,,,,,,,,,,,,,5141.0,654.0,,,32844.0,
QC_Night_2006249_aid0001,aid0001,2006-09-06,48.0,,,,,,2.0,174.0,297.0,,,,3.0,,,34746.0,3338.0,,,38.0,
QC_Night_2006257_aid0001,aid0001,2006-09-14,149.0,,,,,,,,,,,,,,,,1.0,,,38496.0,
