File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD21A2_006_LST_Day_1KM_doy2004361_aid0001,LST_Day_1KM,aid0001,2004-12-26,9827.0,237.54,286.04,"(237.54,286.04)",275.7306991,5.0587688,25.5911417,278.76,286.04,275.96,265.84,273.58
MYD21A2_006_LST_Day_1KM_doy2005001_aid0001,LST_Day_1KM,aid0001,2005-01-01,15331.0,248.96,385.48,"(248.96,385.48)",273.4197626,13.4584096,181.1287877,277.08,284.88,272.72,250.02,266.12
MYD21A2_006_LST_Day_1KM_doy2005009_aid0001,LST_Day_1KM,aid0001,2005-01-09,35102.0,245.9,292.68,"(245.9,292.68)",271.2766053,5.2017682,27.0583929,275.32,285.44,269.86,255.72,267.42
MYD21A2_006_LST_Day_1KM_doy2005017_aid0001,LST_Day_1KM,aid0001,2005-01-17,34348.0,265.92,290.6,"(265.92,290.6)",278.1391365,4.4712046,19.9916709,282.58,290.6,276.34,265.92,274.7
MYD21A2_006_LST_Day_1KM_doy2005025_aid0001,LST_Day_1KM,aid0001,2005-01-25,27092.0,262.26,289.66,"(262.26,289.66)",276.1303994,5.2689307,27.7616307,280.84,289.66,276.34,262.26,271.48
MYD21A2_006_LST_Day_1KM_doy2005033_aid0001,LST_Day_1KM,aid0001,2005-02-02,35982.0,253.0,293.62,"(253.0,293.62)",275.7196265,6.1881985,38.2938002,280.56,293.62,275.72,257.52,270.42
MYD21A2_006_LST_Day_1KM_doy2005041_aid0001,LST_Day_1KM,aid0001,2005-02-10,33184.0,256.6,288.66,"(256.6,288.66)",273.2786361,5.265228,27.7226257,277.38,288.66,271.8,258.68,269.28
MYD21A2_006_LST_Day_1KM_doy2005049_aid0001,LST_Day_1KM,aid0001,2005-02-18,34347.0,248.22,296.12,"(248.22,296.12)",279.4486092,7.827126,61.2639018,287.1,296.12,277.62,251.54,272.82
MYD21A2_006_LST_Day_1KM_doy2005057_aid0001,LST_Day_1KM,aid0001,2005-02-26,32861.0,255.7,302.36,"(255.7,302.36)",282.1145784,8.3230706,69.2735038,290.16,302.36,281.1,255.7,274.24
MYD21A2_006_LST_Day_1KM_doy2005065_aid0001,LST_Day_1KM,aid0001,2005-03-06,33845.0,268.94,304.36,"(268.94,304.36)",286.277732,8.7929457,77.3158942,294.82,304.36,287.14,268.94,277.2
MYD21A2_006_LST_Day_1KM_doy2005073_aid0001,LST_Day_1KM,aid0001,2005-03-14,26609.0,251.88,305.1,"(251.88,305.1)",284.854913,9.1094603,82.9822671,292.36,305.1,286.64,259.74,279.24
MYD21A2_006_LST_Day_1KM_doy2005081_aid0001,LST_Day_1KM,aid0001,2005-03-22,25999.0,253.58,301.5,"(253.58,301.5)",281.1803223,8.0987061,65.5890404,289.08,301.5,281.52,253.58,273.7
MYD21A2_006_LST_Day_1KM_doy2005089_aid0001,LST_Day_1KM,aid0001,2005-03-30,34229.0,260.32,309.42,"(260.32,309.42)",286.3499506,8.9196272,79.55975,293.7,309.42,289.34,260.32,276.62
MYD21A2_006_LST_Day_1KM_doy2005097_aid0001,LST_Day_1KM,aid0001,2005-04-07,33371.0,253.9,304.6,"(253.9,304.6)",289.1282808,8.7018795,75.7227076,295.92,304.6,292.68,263.2,282.31
MYD21A2_006_LST_Day_1KM_doy2005105_aid0001,LST_Day_1KM,aid0001,2005-04-15,35855.0,259.86,311.24,"(259.86,311.24)",293.7329142,9.1072925,82.9427761,300.54,311.24,296.94,268.96,287.14
MYD21A2_006_LST_Day_1KM_doy2005113_aid0001,LST_Day_1KM,aid0001,2005-04-23,26948.0,266.78,310.18,"(266.78,310.18)",292.0834422,6.2404426,38.9431243,296.54,306.76,293.24,277.8,289.04
MYD21A2_006_LST_Day_1KM_doy2005121_aid0001,LST_Day_1KM,aid0001,2005-05-01,21750.0,253.2,311.62,"(253.2,311.62)",293.8607246,6.50299,42.2888786,298.655,311.62,294.08,276.64,289.84
MYD21A2_006_LST_Day_1KM_doy2005129_aid0001,LST_Day_1KM,aid0001,2005-05-09,34106.0,254.58,311.28,"(254.58,311.28)",293.8926981,8.1759668,66.8464335,299.54,311.28,296.24,278.04,290.94
MYD21A2_006_LST_Day_1KM_doy2005137_aid0001,LST_Day_1KM,aid0001,2005-05-17,38386.0,274.66,316.46,"(274.66,316.46)",300.9440061,6.8383637,46.7632184,305.34,315.48,302.46,288.26,298.5
MYD21A2_006_LST_Day_1KM_doy2005145_aid0001,LST_Day_1KM,aid0001,2005-05-25,38058.0,274.46,319.22,"(274.46,319.22)",301.701894,6.7192017,45.1476716,306.26,317.9,302.44,286.84,298.48
MYD21A2_006_LST_Day_1KM_doy2005153_aid0001,LST_Day_1KM,aid0001,2005-06-02,34883.0,248.46,316.14,"(248.46,316.14)",295.9060998,6.2422934,38.9662271,300.34,312.86,295.48,279.46,291.92
MYD21A2_006_LST_Day_1KM_doy2005161_aid0001,LST_Day_1KM,aid0001,2005-06-10,38336.0,273.72,318.46,"(273.72,318.46)",299.3540849,6.1853176,38.2581541,304.1,317.06,299.06,281.54,295.04
MYD21A2_006_LST_Day_1KM_doy2005169_aid0001,LST_Day_1KM,aid0001,2005-06-18,38245.0,272.96,325.76,"(272.96,325.76)",304.2579553,6.7849893,46.0360804,309.56,324.8,304.06,283.2,299.0
MYD21A2_006_LST_Day_1KM_doy2005177_aid0001,LST_Day_1KM,aid0001,2005-06-26,38631.0,279.56,327.4,"(279.56,327.4)",304.8960301,7.3214044,53.6029624,310.79,327.4,304.16,280.62,298.42
MYD21A2_006_LST_Day_1KM_doy2005185_aid0001,LST_Day_1KM,aid0001,2005-07-04,38646.0,284.96,332.52,"(284.96,332.52)",309.855627,8.0216626,64.3470711,316.42,332.52,309.54,284.96,302.48
MYD21A2_006_LST_Day_1KM_doy2005193_aid0001,LST_Day_1KM,aid0001,2005-07-12,38646.0,291.9,332.82,"(291.9,332.82)",312.2848693,7.9292855,62.8735687,318.58,332.82,312.04,291.9,305.22
MYD21A2_006_LST_Day_1KM_doy2005201_aid0001,LST_Day_1KM,aid0001,2005-07-20,38646.0,292.08,331.3,"(292.08,331.3)",310.5549128,7.7224471,59.6361888,316.86,331.3,310.38,292.08,303.46
MYD21A2_006_LST_Day_1KM_doy2005209_aid0001,LST_Day_1KM,aid0001,2005-07-28,38643.0,283.82,331.14,"(283.82,331.14)",309.0359154,7.6472221,58.4800056,315.04,331.14,309.06,283.82,302.34
MYD21A2_006_LST_Day_1KM_doy2005217_aid0001,LST_Day_1KM,aid0001,2005-08-05,36899.0,257.08,332.76,"(257.08,332.76)",308.7072934,8.7237341,76.1035358,315.46,332.76,308.52,282.06,302.04
MYD21A2_006_LST_Day_1KM_doy2005225_aid0001,LST_Day_1KM,aid0001,2005-08-13,38585.0,279.8,328.68,"(279.8,328.68)",305.4301278,7.118395,50.6715472,311.26,328.68,305.38,282.44,299.64
MYD21A2_006_LST_Day_1KM_doy2005233_aid0001,LST_Day_1KM,aid0001,2005-08-21,38637.0,275.92,327.52,"(275.92,327.52)",307.3163594,7.5153677,56.4807511,313.02,327.52,307.3,283.22,301.02
MYD21A2_006_LST_Day_1KM_doy2005241_aid0001,LST_Day_1KM,aid0001,2005-08-29,38646.0,291.4,322.92,"(291.4,322.92)",306.1171423,6.5538871,42.9534359,311.135,322.92,306.24,291.4,300.405
MYD21A2_006_LST_Day_1KM_doy2005249_aid0001,LST_Day_1KM,aid0001,2005-09-06,38582.0,273.86,321.7,"(273.86,321.7)",301.4618957,6.9896691,48.8554737,307.0,321.7,301.32,280.3,295.9
MYD21A2_006_LST_Day_1KM_doy2005257_aid0001,LST_Day_1KM,aid0001,2005-09-14,38646.0,285.04,320.12,"(285.04,320.12)",300.6290597,6.0276993,36.3331587,305.26,319.16,300.88,285.04,295.48
MYD21A2_006_LST_Day_1KM_doy2005265_aid0001,LST_Day_1KM,aid0001,2005-09-22,38646.0,283.72,312.6,"(283.72,312.6)",298.4882379,5.3425936,28.5433063,302.64,312.6,298.5,283.72,294.0
MYD21A2_006_LST_Day_1KM_doy2005273_aid0001,LST_Day_1KM,aid0001,2005-09-30,38646.0,277.52,311.86,"(277.52,311.86)",297.4753154,5.382421,28.9704556,301.62,311.86,297.48,281.08,293.28
MYD21A2_006_LST_Day_1KM_doy2005281_aid0001,LST_Day_1KM,aid0001,2005-10-08,38637.0,260.34,307.26,"(260.34,307.26)",294.9210053,4.7902539,22.9465328,298.6,307.26,295.08,280.44,291.26
MYD21A2_006_LST_Day_1KM_doy2005289_aid0001,LST_Day_1KM,aid0001,2005-10-16,38608.0,278.84,306.86,"(278.84,306.86)",294.8871255,4.4337054,19.6577435,298.32,306.86,295.4,281.48,291.58
MYD21A2_006_LST_Day_1KM_doy2005297_aid0001,LST_Day_1KM,aid0001,2005-10-24,38507.0,266.98,308.56,"(266.98,308.56)",292.7149588,5.8200802,33.8733338,297.02,308.56,292.8,276.18,288.68
MYD21A2_006_LST_Day_1KM_doy2005305_aid0001,LST_Day_1KM,aid0001,2005-11-01,16262.0,252.56,299.2,"(252.56,299.2)",284.4844201,5.0498619,25.5011048,287.78,296.7,284.86,272.68,281.74
MYD21A2_006_LST_Day_1KM_doy2005313_aid0001,LST_Day_1KM,aid0001,2005-11-09,34286.0,246.92,297.58,"(246.92,297.58)",280.2006364,6.2650765,39.251183,284.84,294.08,281.41,265.4,277.06
MYD21A2_006_LST_Day_1KM_doy2005321_aid0001,LST_Day_1KM,aid0001,2005-11-17,36734.0,267.7,293.78,"(267.7,293.78)",282.5297392,4.0488936,16.3935391,285.5,293.0,282.82,272.86,280.44
MYD21A2_006_LST_Day_1KM_doy2005329_aid0001,LST_Day_1KM,aid0001,2005-11-25,18935.0,245.56,284.56,"(245.56,284.56)",270.1508086,7.0256119,49.359222,276.86,284.56,269.64,246.2,264.56
MYD21A2_006_LST_Day_1KM_doy2005337_aid0001,LST_Day_1KM,aid0001,2005-12-03,31239.0,244.72,281.58,"(244.72,281.58)",264.2021031,6.195216,38.3807007,268.8,281.58,262.2,246.66,259.66
MYD21A2_006_LST_Day_1KM_doy2005345_aid0001,LST_Day_1KM,aid0001,2005-12-11,30862.0,249.82,282.44,"(249.82,282.44)",269.9307634,3.6397548,13.2478147,272.66,280.92,269.7,259.1,267.12
MYD21A2_006_LST_Day_1KM_doy2005353_aid0001,LST_Day_1KM,aid0001,2005-12-19,33906.0,263.86,288.28,"(263.86,288.28)",276.1635551,4.211894,17.7400511,280.38,288.28,274.56,263.86,273.14
MYD21A2_006_LST_Day_1KM_doy2005361_aid0001,LST_Day_1KM,aid0001,2005-12-27,12234.0,261.22,285.0,"(261.22,285.0)",277.0963659,4.0696076,16.5617056,280.34,285.0,276.64,266.78,274.86
MYD21A2_006_LST_Day_1KM_doy2006001_aid0001,LST_Day_1KM,aid0001,2006-01-01,35430.0,261.08,286.14,"(261.08,286.14)",274.3813283,5.3788239,28.9317467,279.66,286.14,272.82,261.08,269.82
MYD21A2_006_LST_Day_1KM_doy2006009_aid0001,LST_Day_1KM,aid0001,2006-01-09,32823.0,245.96,289.54,"(245.96,289.54)",272.8153789,4.6433859,21.5610323,275.82,285.3,273.08,259.7,269.36
MYD21A2_006_LST_Day_1KM_doy2006017_aid0001,LST_Day_1KM,aid0001,2006-01-17,34440.0,252.46,284.24,"(252.46,284.24)",269.3603786,3.2775857,10.7425683,271.28,277.46,269.06,260.98,267.16
MYD21A2_006_LST_Day_1KM_doy2006025_aid0001,LST_Day_1KM,aid0001,2006-01-25,29037.0,249.52,285.78,"(249.52,285.78)",271.7585095,4.5322307,20.5411155,274.2,280.36,272.3,263.86,270.06
